year,taxa,king,,type,depth,blk,Shannon
2019,asv,bac,22,soil,33,C,5.308643
2019,asv,bac,23,grape,66,C,4.987655
2019,asv,bac,24,soil,66,C,5.702602
2019,asv,fung,1,fescue,0,A,2.307262
2019,asv,fung,2,grape,0,A,2.782753
2019,asv,fung,3,soil,0,A,2.708563
2019,asv,fung,4,fescue,33,A,2.983675
2019,asv,fung,5,grape,33,A,3.438123
2019,asv,fung,6,soil,33,A,2.40594
2019,asv,fung,7,grape,66,A,3.532873
2019,asv,fung,8,soil,66,A,1.815268
2019,asv,fung,9,fescue,0,B,2.151984
2019,asv,fung,10,grape,0,B,2.318001
2019,asv,fung,11,soil,0,B,2.799778
2019,asv,fung,12,fescue,33,B,3.316284
2019,asv,fung,13,grape,33,B,3.211219
2019,asv,fung,14,soil,33,B,1.093066
2019,asv,fung,15,grape,66,B,3.027592
2019,asv,fung,16,soil,66,B,1.393914
2019,asv,fung,17,fescue,0,C,3.308284
2019,asv,fung,18,grape,0,C,3.135296
2019,asv,fung,19,soil,0,C,3.262216
2019,asv,fung,20,fescue,33,C,2.384971
2019,asv,fung,21,grape,33,C,2.462045
2019,asv,fung,22,soil,33,C,2.222525
2019,asv,fung,23,grape,66,C,3.200517
2019,asv,fung,24,soil,66,C,1.85101
2020,asv,bac,1,grape,0,A,4.23486
2020,asv,bac,2,soil,0,A,4.655355
2020,asv,bac,3,grape,33,A,4.324542
2020,asv,bac,4,soil,33,A,4.508443
2020,asv,bac,5,grape,66,A,4.293236
2020,asv,bac,6,soil,66,A,4.596427
2020,asv,bac,7,grape,0,B,4.110357
2020,asv,bac,8,soil,0,B,4.38872
2020,asv,bac,9,grape,33,B,4.557327
2020,asv,bac,10,soil,33,B,4.462611
2020,asv,bac,11,grape,66,B,4.439161
2020,asv,bac,12,soil,66,B,3.871784
2020,asv,bac,13,grape,0,C,4.868287
2020,asv,bac,14,soil,0,C,4.322097
2020,asv,bac,15,grape,33,C,4.877361
2020,asv,bac,16,soil,33,C,4.266103
