"","year","type","blk","gc","rs","depth","mass","newroot","p__Entomophthoromycota","p__Calcarisporiellomycota","p__Blastocladiomycota","p__Entorrhizomycota","p__Chytridiomycota","p__Monoblepharomycota","p__Rozellomycota","p__Basidiobolomycota","p__Olpidiomycota","p__Glomeromycota","p__Kickxellomycota","p__Mucoromycota","p__Zoopagomycota","p__Mortierellomycota","p__Ascomycota","p__Basidiomycota"
"SF53",2020,"grape","A","GC","LV",33,0.267,0,0,0,0,0,9,0,4,0,0,158,8,28,55,1155,14109,28617
"SF54",2020,"grape","A","GC","LV",66,0.4395,9,0,0,0,0,32,0,3,0,0,46,13,39,12,958,20117,9087
"SF55",2020,"grape","A","GC","MV",0,0.1845,1,0,0,5,0,5,5,45,0,203,127,629,17,281,2948,24783,4425
"SF56",2020,"grape","A","GC","MV",33,0.082,0,0,0,0,0,5,0,0,0,0,181,23,81,49,2796,22503,16823
"SF57",2020,"grape","A","GC","MV",66,0.698,169,0,0,0,0,0,0,0,0,11,199,17,53,22,2518,25202,21676
"SF58",2020,"grape","A","noGC","MV",0,0.5205,226,0,0,0,0,23,0,15,148,55,274,245,791,539,2332,27487,9707
"SF59",2020,"grape","A","noGC","MV",33,0.353,21,0,0,0,0,0,0,11,0,0,174,37,53,328,8622,25707,12637
"SF6",2020,"soil","A","GC","LV",66,297,297,0,0,0,0,2,0,14,0,11,245,10,378,45,6456,16557,4304
"SF60",2020,"grape","A","noGC","MV",66,0.507,86,0,0,0,0,10,6,0,0,0,348,156,44,131,1294,31223,17055
"SF61",2020,"grape","B","GC","LV",0,0.106,0,0,0,0,0,0,0,0,14,34,190,655,0,124,205,14695,6561
"SF62",2020,"grape","B","GC","LV",33,0.191,2,0,0,0,0,0,14,0,0,6,14,247,61,104,3354,18234,10810
"SF63",2020,"grape","B","GC","LV",66,0.258,6,0,0,0,0,0,4,0,0,0,270,5,29,24,2737,21195,9540
"SF64",2020,"grape","B","noGC","LV",0,0.389,102,0,0,0,0,20,7,11,0,18,115,105,35,272,16076,15300,2835
"SF65",2020,"grape","B","noGC","LV",33,0.308,14,0,0,0,0,0,0,0,0,0,33,21,17,34,779,15738,23260
"SF66",2020,"grape","B","noGC","LV",66,0.302,8,0,0,0,0,5,0,0,0,0,0,2,31,21,1131,18367,12406
"SF67",2020,"grape","B","noGC","MV",0,0.702,124,0,0,0,0,47,27,150,46,7,165,29,6,126,807,23501,7078
"SF68",2020,"grape","B","noGC","MV",33,0.379,29,0,0,0,0,33,0,0,0,9,148,61,141,91,1923,12109,14653
"SF69",2020,"grape","B","noGC","MV",66,0.7105,76,0,0,0,0,4,0,0,8,0,419,8,43,47,3670,22054,17934
"SF7",2020,"soil","A","GC","MV",0,267,267,0,0,0,0,44,0,7,236,178,90,1092,98,134,3075,11510,3482
"SF70",2020,"grape","B","GC","MV",0,1.0945,4,0,0,0,0,7,0,26,4,102,221,121,202,97,2221,27644,10058
"SF71",2020,"grape","B","GC","MV",33,0.2785,6,0,0,0,0,9,0,6,0,8,400,62,70,65,2267,29133,13899
"SF72",2020,"grape","B","GC","MV",66,0.755,91,0,0,0,0,0,0,0,0,24,132,18,49,51,5457,27126,30873
"SF73",2020,"grape","C","noGC","MV",0,0.568,21,0,0,0,0,17,16,317,0,18,356,337,46,944,1724,18900,5606
"SF74",2020,"grape","C","noGC","MV",33,0.729,51,0,0,0,0,4,0,66,0,0,181,0,48,144,2696,25781,6288
"SF75",2020,"grape","C","noGC","MV",66,0.583,17,0,0,0,0,28,272,0,0,0,96,36,106,109,3634,34230,12168
"SF76",2020,"grape","C","GC","MV",0,0.2345,0.5,0,0,0,0,0,0,14,0,56,49,2300,83,81,1731,21854,14912
"SF77",2020,"grape","C","GC","MV",33,0.174,0.5,0,0,0,0,8,0,0,0,0,89,33,223,80,4615,27836,16409
"SF78",2020,"grape","C","GC","MV",66,0.22,1.5,0,0,0,0,0,0,8,0,14,114,6,75,26,3198,21909,8619
"SF79",2020,"grape","C","noGC","LV",0,0.7355,36.5,0,0,0,0,22,6,3,9,30,331,123,36,732,1433,22574,6778
"SF8",2020,"soil","A","GC","MV",33,327,327,0,0,0,0,9,0,3,0,0,357,83,236,80,7231,18094,7266
"SF80",2020,"grape","C","noGC","LV",33,0.5445,8.5,0,0,0,0,7,9,0,12,15,87,13,142,251,3531,26249,13363
"SF81",2020,"grape","C","noGC","LV",66,0.2405,2,0,0,0,0,6,6,8,0,9,113,14,44,92,1251,24329,25669
"SF82",2020,"grape","C","GC","LV",0,0.255,0,0,4,0,0,0,0,4,0,1246,217,309,4,156,889,27559,7207
"SF83",2020,"grape","C","GC","LV",33,0.2605,0.5,0,0,0,0,0,17,0,0,60,268,18,44,73,1776,26132,10993
"SF84",2020,"grape","C","GC","LV",66,0.2185,17,0,0,0,0,0,0,0,0,5,125,40,28,65,2843,42446,22224
"SF85",2020,"grape","D","GC","LV",0,0.3505,5,0,0,0,0,17,0,27,0,24,225,195,13,389,2481,26057,10290
"SF86",2020,"grape","D","GC","LV",33,0.8835,29,0,0,0,0,0,0,46,0,86,214,119,47,24,1439,24167,8320
"SF87",2020,"grape","D","GC","LV",66,0.7575,36,0,0,0,0,16,6,0,0,10,638,27,139,34,1030,33834,12999
"SF88",2020,"grape","D","noGC","LV",0,0.605,21.5,0,0,0,0,4,6,74,12,37,209,686,30,294,2674,21442,8639
"SF89",2020,"grape","D","noGC","LV",33,0.776,16.5,0,0,0,0,0,24,17,0,0,221,163,77,345,1546,28841,14879
"SF9",2020,"soil","A","GC","MV",66,311,311,0,0,0,0,14,3,0,0,0,315,6,115,128,6136,22951,8874
"SF90",2020,"grape","D","noGC","LV",66,0.6545,12.5,0,0,0,0,99,0,8,0,0,403,21,64,76,1581,21798,14431
"SF91",2020,"grape","D","noGC","MV",0,0.276,6.5,0,0,0,0,9,3,6,0,19,96,169,133,622,3961,28749,6166
"SF92",2020,"grape","D","noGC","MV",33,0.5785,82.5,0,0,0,0,7,4,0,0,0,68,3,72,193,840,12829,43442
"SF93",2020,"grape","D","noGC","MV",66,0.147,4.5,0,0,0,0,33,0,8,0,16,235,6,43,64,2807,33345,14344
"SF94",2020,"grape","D","GC","MV",0,0.5205,23.5,0,0,0,0,0,7,0,0,424,183,88,0,115,478,10198,29637
"SF95",2020,"grape","D","GC","MV",33,0.4445,47,0,0,0,0,7,6,9,0,15,226,122,38,172,1203,20948,10657
"SF96",2020,"grape","D","GC","MV",66,0.6075,21,0,0,7,0,5,0,24,27,0,566,31,82,212,1569,32755,12590
