"","sample2","year","Row","Column","type","blk","gc","rs","depth","mass","g__Gorgomyces","g__Lacrymaria","g__Coprinopsis","g__Dactylella","g__Spencerozyma","g__Neocucurbitaria","g__Schizophyllum","g__Myrmecridium","g__Rubellisphaeria","g__Barbatosphaeria","g__Coprinus","g__Coemansia","g__Absidia","g__Calvatia","g__Geomyces","g__Deflexula","g__Rhizophagus","g__Didymosphaeria","g__Clitopilus","g__Minimedusa","g__Pseudophaeomoniella","g__Scleroderma","g__Diversispora","g__Hymenochaetopsis","g__Cephaliophora","g__Hymenoscyphus","g__Octaviania","g__Poaceascoma","g__Myxospora","g__Microdominikia","g__Microbotryozyma","g__Lenzites","g__Ophiosphaerella","g__Schizothecium","g__Yamadamyces","g__Ciliolarina","g__Scedosporium","g__Subulicystidium","g__Torula","g__Lyomyces","g__Helicosporium","g__Stagonospora","g__Phlyctochytrium","g__Kurtzmanomyces","g__Atractiella","g__Lecanicillium","g__Hyphodontia","g__Leptodiscella","g__Ramicandelaber","g__Rasamsonia","g__Nectria","g__Herpotrichia","g__Armillaria","g__Claroideoglomus","g__Gaeumannomyces","g__Bovista","g__Hyaloscypha","g__Slopeiomyces","g__Monodictys","g__Burgoa","g__Amanita","g__Fibulochlamys","g__Gongronella","g__Peniophora","g__Clarireedia","g__Puccinia","g__Talaromyces","g__Trechispora","g__Lepista","g__Kondoa","g__Diaporthe","g__Cladophialophora","g__Inocybe","g__Mycenella","g__Kockovaella","g__Gibellulopsis","g__Tilletia","g__Pseudallescheria","g__Arthrographis","g__Penicillium","g__Cordyceps","g__Dictyosporium","g__Phialemonium","g__Striatibotrys","g__Betamyces","g__Hannaella","g__Delicatula","g__Tolypocladium","g__Serendipita","g__Tetracladium","g__Parascedosporium","g__Veronaeopsis","g__Barnettozyma","g__Monocillium","g__Byssonectria","g__Colletotrichum","g__Goffeauzyma","g__Pyxidiophora","g__Tomentella","g__Chionosphaera","g__Neohelicomyces","g__Neosetophoma","g__Phaeotremella","g__Coniophora","g__Echria","g__Ustilago","g__Oehlia","g__Dichostereum","g__Serpula","g__Vermispora","g__Geastrum","g__Occultifur","g__Panaeolus","g__Basidiobolus","g__Preussia","g__Mastigobasidium","g__Ramariopsis","g__Marasmiellus","g__Sclerogaster","g__Pluteus","g__Phialocephala","g__Pseudophialophora","g__Fusicladium","g__Paraconiothyrium","g__Paracremonium","g__Cryptocoryneum","g__Saccharomyces","g__Dominikia","g__Phanerochaete","g__Cylindrosympodium","g__Bulleromyces","g__Spirosphaera","g__Ganoderma","g__Pseudombrophila","g__Grifola","g__Cryptococcus","g__Cladorrhinum","g__Gloeohypochnicium","g__Sporormia","g__Beauveria","g__Lepiota","g__Thyronectria","g__Infundichalara","g__Harzia","g__Minimelanolocus","g__Schwanniomyces","g__Conocybe","g__Pyrenophora","g__Rinaldiella","g__Neobulgaria","g__Pleotrichocladium","g__Scytalidium","g__Dictyochaeta","g__Lycoperdon","g__Magnaporthiopsis","g__Hypomyces","g__Plectosphaerella","g__Pleurotheciella","g__Vanrija","g__Simplicillium","g__Galerina","g__Waitea","g__Clathrus","g__Syncephalis","g__Nadsonia","g__Zymoseptoria","g__Claviceps","g__Atractospora","g__Staphylotrichum","g__Holtermanniella","g__Scutellinia","g__Leucosporidium","g__Lipomyces","g__Epicoccum","g__Phaeoisaria","g__Atractium","g__Sanchytrium","g__Thanatephorus","g__Albifimbria","g__Keissleriella","g__Rhizophlyctis","g__Pseudeurotium","g__Paraphaeosphaeria","g__Setophoma","g__Cylindrocarpon","g__Podospora","g__Dioszegia","g__Umbelopsis","g__Rhizoglomus","g__Clonostachys","g__Cutaneotrichosporon","g__Knufia","g__Marasmius","g__Curvibasidium","g__Sarocladium","g__Conioscypha","g__Cyphellophora","g__Septoglomus","g__Mucor","g__Chrysosporium","g__Trametes","g__Smaragdiniseta","g__Auricularia","g__Cosmospora","g__Niesslia","g__Thelonectria","g__Entoloma","g__Bifiguratus","g__Anthracocystis","g__Lophotrichus","g__Leucoagaricus","g__Pichia","g__Vishniacozyma","g__Cystofilobasidium","g__Kabatiella","g__Alatospora","g__Candida","g__Olpidium","g__Parasarocladium","g__Metapochonia","g__Botryotrichum","g__Septoria","g__Nigrospora","g__Selenophoma","g__Symmetrospora","g__Robillarda","g__Conlarium","g__Rhizoctonia","g__Angustimassarina","g__Lophiostoma","g__Cylindrocladium","g__Apodus","g__Ascobolus","g__Bannoa","g__Coniochaeta","g__Sampaiozyma","g__Pseudocosmospora","g__Westerdykella","g__Devriesia","g__Paramyrothecium","g__Geminibasidium","g__Volutella","g__Graphiola","g__Trichocladium","g__Psathyrella","g__Parathyridaria","g__Cadophora","g__Neoascochyta","g__Dactylaria","g__Acrostalagmus","g__Paraphoma","g__Scolecobasidium","g__Chaetomium","g__Articulospora","g__Glomus","g__Sporobolomyces","g__Pestalotiopsis","g__Mycoarthris","g__Metacordyceps","g__Cuniculitrema","g__Cyberlindnera","g__Hemimycena","g__Mariannaea","g__Cercophora","g__Neonectria","g__Paraglomus","g__Pseudopithomyces","g__Fusidium","g__Gliomastix","g__Periconia","g__Parafabraea","g__Pseudofabraea","g__Didymocyrtis","g__Mrakia","g__Microdochium","g__Rhodotorula","g__Pseudogymnoascus","g__Rhizophydium","g__Condenascus","g__Phaeosphaeria","g__Dichotomopilus","g__Funneliformis","g__Tausonia","g__Rachicladosporium","g__Tilletiopsis","g__Acremonium","g__Phallus","g__Trichoderma","g__Myceliophthora","g__Spiromyces","g__Naganishia","g__Bionectria","g__Filobasidium","g__Gyoerffyella","g__Metarhizium","g__Alternaria","g__Pyrenochaetopsis","g__Solicoccozyma","g__Gibberella","g__Malassezia","g__Exophiala","g__Meyerozyma","g__Saitozyma","g__Humicola","g__Neocosmospora","g__Papiliotrema","g__Dactylonectria","g__Fusarium","g__Apiotrichum","g__Mycosphaerella","g__Ilyonectria","g__Fusicolla","g__Cladosporium","g__Mortierella","g__Aspergillus"
"sfITS16","16",2019,"B",4,"soil","B","noGC","LV",0,"708",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,26,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,23,14,0,0,0,0,0,62,264,0,0,30,9,8,0,0,103,5,270,0,5,0,0,0,148,23,378,2,0,38,10,0,388,0,22,43,595,0,13,0,99,744,272,152,0,203,804,0,23,60,15,1215,0
"sfITS17","17",2019,"B",5,"soil","B","noGC","LV",33,"740",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5005,0,0,0,0,0,0,18741,0,0,0,0,0,0,0,5884,0,7639,0,0,123,0,37584
"sfITS18","18",2019,"B",6,"soil","B","noGC","LV",66,"762",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1680,0,0,3540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3551,0,18575
"sfITS19","19",2019,"B",7,"soil","B","noGC","MV",0,"744",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,121,0,0,0,4,0,2,0,0,0,162,0,0,0,0,3,5,10,213,5,0,0,0,0,203,0,6,0,91,0,0,0,24,275,41,15,0,29,1031,0,0,127,0,1002,0
"sfITS20","20",2019,"B",8,"soil","B","noGC","MV",33,"762",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sfITS22","22",2019,"B",10,"soil","B","GC","MV",0,"44",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,0,0,0,0,8,0,0,2,2,0,0,0,0,0,0,0,4,0,0,3,0,15,0,0,0,0,11,0,0,0,0,0,0,47,54,0,0,261,8,6,0,2,0,0,95,0,4,0,0,14,15,0,0,11,0,0,4,0,106,0,18,23,1354,0,0,0,30,184,53,37,0,144,2172,0,0,31,10,1343,0
"sfITS24","24",2019,"B",12,"soil","B","GC","MV",66,"725",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sfITS25","25",2019,"C",1,"soil","C","noGC","MV",0,"766",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,5,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,7,0,0,0,0,0,3,0,0,0,24,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,21,0,0,6,25,0,4,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,26,23,0,0,0,26,6,0,0,32,0,0,39,24,0,0,122,0,0,0,3,394,0,116,0,0,0,0,8,14,0,262,6,0,93,0,0,296,0,16,110,575,0,57,0,96,606,246,101,0,73,463,0,174,77,15,922,31
"sfITS28","28",2019,"C",4,"soil","C","GC","MV",0,"732",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,38,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,15,0,0,0,51,0,0,16,0,0,0,77,10,0,0,0,50,0,0,0,0,2,163,0,0,0,0,2,5,56,283,2,0,81,0,0,384,0,16,7,132,0,0,0,45,698,516,9,0,361,375,0,0,49,6,1149,11
"sfITS31","31",2019,"C",7,"soil","C","noGC","LV",0,"748",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,51,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,34,0,0,0,0,0,0,20,772,0,0,7,0,0,0,0,39,7,194,0,0,0,0,0,11,41,209,16,0,0,0,0,612,0,11,18,56,0,13,0,27,631,325,10,0,227,434,0,30,47,4,2415,4
"sfITS32","32",2019,"C",8,"soil","C","noGC","LV",33,"754",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,153,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,0,0,263,0,0,0,0,0,198,0,0,0,567,0,230,0,0,467,0,0,844,0,0,0,0,0,0,317,0,0,0,58,418,0,0,0,0,144,0,345,686,267,0,0,0,0,0,0,0,0,0,0,454,1578,0,0,0,1304,0,0,0,218,0,589,787,0,0,0,980,0,346,0,0,1673,8889,654
"sfITS33","33",2019,"C",9,"soil","C","noGC","LV",66,"683",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6591,0,0,0,0,0,0,0,0,7653,0,0,0,0,0,0,0,4053,0,2690,0,0,0,0,0
"sfITS34","34",2019,"C",10,"soil","C","GC","LV",0,"695",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,19,0,0,0,0,0,0,97,0,0,0,7,0,0,0,0,0,0,164,0,0,0,0,4,3,88,177,11,0,50,0,0,233,0,6,0,0,0,10,0,20,616,396,0,0,0,574,0,26,0,0,980,0
"sfITS35","35",2019,"C",11,"soil","C","GC","LV",33,"774",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452,0,0,0,0,0,1582,0,0,0,0,0,0,0,0,0,0,0,0,0
"sfITS37","37",2019,"D",1,"fescue","A","GC","LV",0,"925",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,35,7,0,0,29,6,5,0,0,0,0,0,0,0,0,0,45,0,0,0,67,0,0,0,0,4,9,214,5,102,0,0,0,11,0,0,9,0,73,31,0,0,21,13,9583,0
"sfITS38","38",2019,"D",2,"fescue","A","GC","LV",33,"750",0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,24,0,5,0,0,0,0,0,17,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,13,0,0,14,0,0,0,0,0,0,9,0,82,20,0,69,18,0,7,34,0,0,0,36,0,27,0,17,0,9,5,0,0,28,17,23,31,3,0,0,0,0,49,0,0,11,0,28,0,12,0,0,74,31,4,64,184,158,93,0,94,0,269,245,0,11,30,222,154,0,16,140,148,2020,34
