"","year","type","blk","gc","rs","depth","mass","newroot","WS2","WS1","Halanaerobiaeota","Hydrogenedentes","Deinococcota","Abditibacteriota","Sumerlaeota","FCPU426","Spirochaetota","NB1-j","Elusimicrobiota","Fibrobacterota","SAR324 clade(Marine group B)","Patescibacteria","Entotheonellaeota","Bdellovibrionota","WPS-2","Cyanobacteria","unclassified","Latescibacterota","Armatimonadota","MBNT15","RCP2-54","Dependentiae","GAL15","Methylomirabilota","Desulfobacterota","Planctomycetota","Nitrospirota","Gemmatimonadota","Myxococcota","Acidobacteriota","Bacteroidota","Chloroflexi","Firmicutes","Actinobacteriota","Verrucomicrobiota","Proteobacteria"
"SF28",2020,"soil","C","GC","MV",0,304,304,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,8,81,15,21,0,0,0,74,37,106,108,37,109,1455,417,364,813,1344,971,2648
"SF29",2020,"soil","C","GC","MV",33,326,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,43,0,28,0,5,0,0,0,0,186,0,190,65,126,135,852,209,887,670,1488,726,3220
"SF30",2020,"soil","C","GC","MV",66,315,315,0,0,0,0,0,0,0,0,0,0,9,29,0,5,0,0,0,3,20,0,21,0,0,0,80,94,0,216,204,376,242,933,138,1094,596,1770,892,3179
"SF31",2020,"soil","C","noGC","LV",0,300,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,17,0,0,0,0,0,0,0,0,0,0,0,40,52,43,193,317,291,353,249,757,893,1571
"SF32",2020,"soil","C","noGC","LV",33,314,314,0,0,0,0,0,0,0,4,0,0,15,8,0,0,0,0,5,4,4,0,0,0,11,9,0,96,0,214,63,91,75,1197,22,499,285,1392,543,1649
"SF33",2020,"soil","C","noGC","LV",66,309,309,0,0,2,0,0,0,0,0,4,0,0,0,0,2,0,25,24,0,0,0,26,0,0,0,63,60,0,68,0,158,347,497,29,722,448,1572,702,2792
"SF34",2020,"soil","C","GC","LV",0,293,293,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,10,0,6,17,59,9,0,0,8,0,135,0,91,84,34,307,714,556,340,874,1090,972,1329
"SF35",2020,"soil","C","GC","LV",33,306,306,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,12,0,0,18,34,8,0,0,5,0,17,19,117,107,15,145,731,243,291,768,1033,981,1751
"SF36",2020,"soil","C","GC","LV",66,289,289,0,0,0,0,0,0,0,0,0,0,13,0,0,10,0,0,20,6,31,28,8,0,0,0,0,0,0,294,80,74,16,409,22,868,299,1881,757,2881
"SF37",2020,"soil","D","GC","LV",0,321,321,0,0,0,0,0,0,0,13,0,0,0,0,0,16,0,0,0,0,7,8,24,0,0,0,0,0,0,151,48,34,172,150,57,356,195,1016,863,1646
"SF38",2020,"soil","D","GC","LV",33,318,318,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,106,87,148,81,144,229,508,382,267,434,744,1033,1570
"SF39",2020,"soil","D","GC","LV",66,307,307,0,0,0,0,0,0,12,0,0,0,39,0,0,36,0,12,54,0,13,0,33,0,41,10,38,155,62,138,92,213,384,1120,178,1168,487,1952,1270,3351
"SF40",2020,"soil","D","noGC","LV",0,291,291,0,0,0,0,0,0,0,0,0,0,21,0,0,4,0,6,0,0,12,0,0,0,0,2,61,88,0,143,0,103,155,961,63,766,337,915,866,2855
"SF41",2020,"soil","D","noGC","LV",33,310,310,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,24,0,0,2,35,0,0,0,0,0,72,0,109,87,56,96,804,256,365,361,1024,1303,2477
"SF42",2020,"soil","D","noGC","LV",66,328,328,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,24,0,0,32,0,28,6,15,0,36,139,0,33,0,218,315,935,157,551,110,1173,565,2255
"SF43",2020,"soil","D","noGC","MV",0,306,306,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,3,0,0,45,0,13,0,0,12,0,51,20,486,0,361,496,779,5,921,226,1534,1075,3207
"SF44",2020,"soil","D","noGC","MV",33,333,333,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,18,0,0,7,0,0,0,0,25,0,0,0,71,52,90,297,146,437,267,250,904,694,2498
"SF45",2020,"soil","D","noGC","MV",66,304,304,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,5,0,0,0,0,5,57,0,31,119,11,248,223,831,281,702,493,978,950,1896
"SF46",2020,"soil","D","GC","MV",0,328,328,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,24,0,0,0,0,8,0,0,12,71,34,48,5,504,278,73,344,757,630,2058
"SF47",2020,"soil","D","GC","MV",33,284,284,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,8,0,0,0,0,31,0,0,7,0,3,246,111,0,28,98,622,276,257,366,876,236,1587
"SF49",2020,"grape","A","noGC","LV",0,0.501,31,0,2,0,0,0,0,0,0,26,0,3,2,0,11,0,5,0,0,54,3,0,0,0,20,0,0,32,64,0,14,290,829,225,172,221,664,571,2470
"SF50",2020,"grape","A","noGC","LV",33,0.4975,48,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,23,0,0,0,0,16,0,62,0,35,0,0,308,643,253,313,491,586,396,2800
"SF51",2020,"grape","A","noGC","LV",66,0.5025,45,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,8,0,0,0,0,7,0,0,0,117,25,41,107,170,252,180,267,342,902,1774
"SF52",2020,"grape","A","GC","LV",0,0.1385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,26,33,0,0,0,31,0,0,0,425,0,0,456,870,345,266,363,732,815,3876
"SF53",2020,"grape","A","GC","LV",33,0.267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,4,3,0,41,0,23,6,0,0,0,188,0,31,125,514,547,93,211,930,707,3463
"SF54",2020,"grape","A","GC","LV",66,0.4395,9,0,0,0,0,2,0,0,0,0,0,6,0,0,2,24,18,0,0,79,0,0,0,0,8,0,0,12,68,58,60,129,297,190,181,1090,1465,417,2450
"SF55",2020,"grape","A","GC","MV",0,0.1845,1,0,0,0,0,0,0,0,0,0,0,0,16,0,66,0,31,0,0,7,0,148,0,0,61,0,0,0,126,88,163,502,1085,661,442,272,1335,768,4482
"SF56",2020,"grape","A","GC","MV",33,0.082,0,0,0,0,0,0,0,0,0,0,0,0,8,0,19,0,34,0,0,5,0,0,0,0,6,84,0,3,64,0,130,286,580,126,829,542,1021,1018,2222
"SF57",2020,"grape","A","GC","MV",66,0.698,169,0,0,0,0,0,0,0,0,16,0,0,0,0,15,0,7,0,5,15,0,15,0,0,0,0,0,0,159,26,0,187,695,626,252,407,1441,527,3448
"SF58",2020,"grape","A","noGC","MV",0,0.5205,226,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,13,0,42,28,14,16,0,0,5,110,23,60,237,642,1055
"SF59",2020,"grape","A","noGC","MV",33,0.353,21,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,2,0,10,60,0,0,0,0,98,0,0,0,50,0,4,355,588,234,271,280,831,912,3267
"SF60",2020,"grape","A","noGC","MV",66,0.507,86,0,0,0,0,0,0,0,16,0,0,8,0,0,39,0,2,0,0,46,0,5,0,38,0,2,53,18,67,93,96,310,955,234,320,146,904,559,4579
"SF61",2020,"grape","B","GC","LV",0,0.106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,2,0,0,0,0,6,0,0,54,30,51,0,263,310,100,189,224,306,560,1214
"SF62",2020,"grape","B","GC","LV",33,0.191,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,9,0,11,27,0,76,0,0,38,0,0,0,331,0,60,577,1376,530,515,308,1069,452,4222
"SF63",2020,"grape","B","GC","LV",66,0.258,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,12,0,0,0,0,28,0,0,11,145,0,0,285,471,346,230,335,218,671,2247
"SF64",2020,"grape","B","noGC","LV",0,0.389,102,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,4,0,0,0,0,0,0,0,21,58,0,0,286,219,310,133,543,1095,631,2032
"SF65",2020,"grape","B","noGC","LV",33,0.308,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,3,0,0,0,0,20,0,0,0,214,81,0,54,502,388,74,760,1174,435,3522
"SF66",2020,"grape","B","noGC","LV",66,0.302,8,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,4,0,12,0,0,8,0,25,0,109,0,57,199,550,312,78,509,1493,818,3433
"SF67",2020,"grape","B","noGC","MV",0,0.702,124,0,0,0,0,0,0,0,0,0,0,3,12,0,2,0,8,0,0,4,0,0,0,0,10,0,33,9,132,73,24,177,1015,606,269,785,1230,1273,2179
"SF68",2020,"grape","B","noGC","MV",33,0.379,29,0,0,0,0,0,0,0,0,0,0,4,0,10,4,0,0,0,0,42,0,0,0,0,19,0,83,186,112,57,46,294,692,999,275,427,952,897,3441
"SF69",2020,"grape","B","noGC","MV",66,0.7105,76,0,0,0,0,0,0,0,11,3,0,0,0,0,9,0,4,12,11,43,35,0,0,0,12,0,0,0,75,31,120,465,866,484,429,267,789,629,2609
"SF70",2020,"grape","B","GC","MV",0,1.0945,4,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,9,0,4,0,31,0,0,0,0,0,0,178,31,49,316,1026,746,253,511,673,784,3310
"SF71",2020,"grape","B","GC","MV",33,0.2785,6,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,30,0,0,2,15,0,0,0,3,0,40,0,263,0,62,378,439,534,427,861,1439,809,2448
"SF72",2020,"grape","B","GC","MV",66,0.755,91,0,0,0,0,0,0,0,0,45,0,0,0,12,12,0,35,0,13,0,0,0,0,12,0,0,0,4,227,83,102,323,204,1228,100,251,1086,485,6143
"SF73",2020,"grape","C","noGC","MV",0,0.568,21,0,0,0,0,0,0,0,6,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0,7,0,0,0,176,0,77,516,823,1081,295,218,1104,475,6813
"SF74",2020,"grape","C","noGC","MV",33,0.729,51,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,12,0,0,0,0,36,0,0,67,214,0,8,195,287,506,440,462,934,787,3559
"SF75",2020,"grape","C","noGC","MV",66,0.583,17,2,0,0,0,0,0,0,0,0,0,2,0,0,11,0,0,13,26,23,2,0,0,69,8,0,0,0,411,0,121,372,817,369,163,158,1478,908,3739
"SF76",2020,"grape","C","GC","MV",0,0.2345,0.5,0,0,0,0,0,0,0,0,0,0,10,0,0,16,0,0,0,7,2,0,0,0,37,30,17,45,0,125,94,145,375,633,623,440,200,1188,599,3712
